# official_schedule.csv - year-ahead PUBLISHED dates of the big scheduled releases for the lineup currencies
# (coach ruling 2026-09-16, forward horizon). Purpose: the 2-week events panel + the advisory 'next big release inside
# the hold' line. NOT enforcement: the binding V rule is entry-time (<6h) and ForexFactory's week covers that.
# Merged UNDER ForexFactory by normalize_econ_tzfix.py: when FF has the same release on the same UTC date, FF's row wins
# (exact time). Engineer maintains from fed.gov / ecb.europa.eu / bankofengland.co.uk / bls.gov; coach reviews annually.
# Times UTC, converted from publisher local time (FOMC 14:00 ET, ECB 14:15 CET, BoE 12:00 UK, BLS 08:30 ET).
# Maintenance: BLS publishes its next-year schedule in Q4 -> add 2027 NFP/CPI then; BoE 2027 dates are provisional.
date_utc_start,date_utc_end,ccy,event,class,source,round
2026.09.16 18:00,2026.09.16 19:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
2026.09.16 18:30,2026.09.16 19:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2026.09.17 11:00,2026.09.17 12:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16,1
2026.10.02 12:30,2026.10.02 13:30,USD,Non-Farm Employment Change,V,bls.gov empsit 2026-09-16,1
2026.10.14 12:30,2026.10.14 13:30,USD,CPI m/m,V,bls.gov cpi 2026-09-16,1
2026.10.28 18:00,2026.10.28 19:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
2026.10.28 18:30,2026.10.28 19:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2026.10.29 13:15,2026.10.29 14:15,EUR,Main Refinancing Rate,V,ecb.europa.eu calendar 2026-09-16,1
2026.10.29 13:45,2026.10.29 14:45,EUR,ECB Press Conference,V,ecb.europa.eu calendar 2026-09-16,1
2026.11.05 12:00,2026.11.05 13:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16,1
2026.11.06 13:30,2026.11.06 14:30,USD,Non-Farm Employment Change,V,bls.gov empsit 2026-09-16,1
2026.11.10 13:30,2026.11.10 14:30,USD,CPI m/m,V,bls.gov cpi 2026-09-16,1
2026.12.04 13:30,2026.12.04 14:30,USD,Non-Farm Employment Change,V,bls.gov empsit 2026-09-16,1
2026.12.09 19:00,2026.12.09 20:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
