signal_id,signal_time,symbol,strategy,direction,orig_entry,orig_sl,orig_tp,orig_tp1,orig_tp2,entry,sl,tp,tp1,tp2,partial_frac,lots,decision,skip_reason,edited,is_pending,decision_ms,posid,tp1_done,exit_time,exit_price,pnl,r_multiple,regime,with_trend,to_entry,to_sl,to_tp1,to_tp2,mfe_r,pre_dip_r,post_dip_r,dipped,terminal,decision_class,rt_tp1r,rt_tp2r,rt_touched1,rt_reached2,rt_redip1,rt_bankr
1,2024.01.05 12:00:00,EURUSD.dk,TrendCont,BUY,1.09784,1.08736,1.13975,1.11879,1.13975,1.09784,1.08736,1.13975,1.11879,1.13975,0.50,0.23,approved,0,0,0,0,2,0,2024.01.16 13:56:39,1.08735,-253.16,-1.00,TREND_UP,1,1.09784,1.08736,1.11879,1.13975,0.21,0.21,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000
2,2024.01.30 00:00:00,EURUSD.dk,DeepFib,SELL,1.08308,1.08462,1.07959,1.07959,1.07624,1.08308,1.08462,1.07624,1.07959,1.07624,0.50,1.60,approved,0,0,0,0,4,1,2024.01.30 08:00:46,1.08298,132.00,0.53,TREND_UP,0,1.08308,1.08462,1.07959,1.07624,1.22,1.22,0.00,0,BE,TAKE,2.263,4.434,0,0,0,1.005
3,2024.01.31 16:00:00,EURUSD.dk,SweepMSS,BUY,1.08404,1.08039,1.09499,1.09134,1.09499,1.08404,1.08039,1.09499,1.09134,1.09499,0.00,0.68,approved,0,0,0,0,7,1,2024.01.31 20:03:46,1.08036,-250.24,-1.01,TREND_UP,1,1.08404,1.08039,1.09134,1.09499,0.04,0.04,0.00,0,SL,TAKE,2.000,3.000,0,0,0,-99.000
4,2024.02.01 20:00:00,EURUSD.dk,TrendCont,BUY,1.08743,1.08027,1.11608,1.10175,1.11608,1.08743,1.08027,1.11608,1.10175,1.11608,0.50,0.34,approved,0,0,0,0,9,0,2024.02.02 14:02:08,1.08024,-244.46,-1.00,TREND_UP,1,1.08743,1.08027,1.10175,1.11608,0.33,0.33,0.01,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000
5,2024.02.06 04:00:00,EURUSD.dk,EMArevQ,BUY,1.07520,1.07386,1.08255,1.07889,1.08255,1.07520,1.07386,1.08255,1.07889,1.08255,0.50,1.81,approved,0,0,0,0,11,0,2024.02.06 09:33:12,1.07386,-242.54,-1.00,TREND_DOWN,0,1.07520,1.07386,1.07889,1.08255,0.60,0.60,0.05,1,SL,DISCRETION,2.744,5.471,0,0,0,-99.000
6,2024.02.07 08:00:00,EURUSD.dk,TrendCont,SELL,1.07710,1.07758,1.07517,1.07613,1.07517,1.07710,1.07758,1.07517,1.07613,1.07517,0.00,0.00,rejected,0,0,0,0,0,1,1970.01.01 00:00:00,0.00000,0.00,0.00,TREND_DOWN,1,1.07710,1.07758,1.07613,1.07517,0.00,0.00,0.00,0,,DISCRETION,0.000,0.000,0,0,0,-99.000
7,2024.02.07 20:00:00,EURUSD.dk,SweepMSS,BUY,1.07755,1.07560,1.08341,1.08146,1.08341,1.07755,1.07560,1.08341,1.08146,1.08341,0.00,1.23,approved,0,0,0,0,13,1,2024.02.08 12:30:41,1.07560,-239.85,-1.00,TREND_DOWN,0,1.07755,1.07560,1.08146,1.08341,0.69,0.69,0.51,1,SL,TAKE,2.000,3.000,0,0,0,-99.000
8,2024.02.12 04:00:00,EURUSD.dk,SweepMSS,BUY,1.08032,1.07605,1.09312,1.08885,1.09312,1.08032,1.07605,1.09312,1.08885,1.09312,0.00,0.56,approved,0,0,0,0,15,1,2024.02.12 15:16:13,1.07604,-239.68,-1.00,TREND_DOWN,0,1.08032,1.07605,1.08885,1.09312,0.00,0.00,0.00,0,SL,TAKE,2.000,3.000,0,0,0,-99.000
9,2024.02.13 04:00:00,EURUSD.dk,SweepMSS,SELL,1.07711,1.08049,1.06696,1.07034,1.06696,1.07711,1.08049,1.06696,1.07034,1.06696,0.00,0.69,approved,0,0,0,0,17,1,2024.02.15 13:30:25,1.07701,119.66,0.51,TREND_DOWN,1,1.07711,1.08049,1.07034,1.06696,2.25,0.42,2.25,1,BE,TAKE,2.000,3.000,1,0,1,1.002
10,2024.02.28 16:00:00,EURUSD.dk,SweepMSS,SELL,1.08336,1.08472,1.07928,1.08064,1.07928,1.08336,1.08472,1.07928,1.08064,1.07928,0.00,1.74,approved,0,0,0,0,20,1,2024.02.29 08:23:00,1.08472,-234.37,-1.00,CHOP,,1.08336,1.08472,1.08064,1.07928,0.55,0.40,0.55,1,SL,DISCRETION,2.000,3.000,0,0,0,-99.000
11,2024.03.03 20:00:00,EURUSD.dk,TrendCont,BUY,1.08418,1.08214,1.09232,1.08825,1.09232,1.08418,1.08214,1.09232,1.08825,1.09232,0.50,1.15,approved,0,0,0,0,22,1,2024.03.05 07:47:34,1.08428,118.41,0.52,TREND_UP,1,1.08418,1.08214,1.08825,1.09232,1.22,0.31,1.22,1,BE,DISCRETION,2.000,4.000,0,0,0,1.007
12,2024.03.05 08:00:00,EURUSD.dk,TrendCont,BUY,1.08499,1.08400,1.08897,1.08698,1.08897,1.08499,1.08400,1.08897,1.08698,1.08897,0.50,2.37,approved,0,0,0,0,25,1,2024.03.05 20:06:40,1.08509,132.26,0.56,TREND_UP,1,1.08499,1.08400,1.08698,1.08897,2.63,0.46,2.63,1,BE,DISCRETION,2.000,4.000,1,0,1,1.025
13,2024.03.06 04:00:00,EURUSD.dk,TrendCont,BUY,1.08620,1.08406,1.09477,1.09048,1.09477,1.08620,1.08406,1.09477,1.09048,1.09477,0.50,1.11,approved,0,0,0,0,28,1,2024.03.07 19:55:31,1.09477,594.06,2.52,TREND_UP,1,1.08620,1.08406,1.09048,1.09477,4.00,4.00,0.00,0,TP,DISCRETION,2.000,4.000,1,1,1,1.004
14,2024.03.11 20:00:00,EURUSD.dk,TrendCont,BUY,1.09308,1.09128,1.10027,1.09667,1.10027,1.09308,1.09128,1.10027,1.09667,1.10027,0.50,1.35,approved,0,0,0,0,31,0,2024.03.12 12:30:01,1.09075,-314.55,-1.30,TREND_UP,1,1.09308,1.09128,1.09667,1.10027,0.48,0.48,0.32,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000
15,2024.03.14 08:00:00,EURUSD.dk,TrendCont,BUY,1.09417,1.09302,1.09876,1.09646,1.09876,1.09417,1.09302,1.09876,1.09646,1.09876,0.50,2.10,approved,0,0,0,0,33,0,2024.03.14 12:30:01,1.09279,-289.80,-1.20,TREND_UP,1,1.09417,1.09302,1.09646,1.09876,0.10,0.10,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000
16,2024.03.18 12:00:00,EURUSD.dk,SweepMSS,BUY,1.08854,1.08791,1.09043,1.08980,1.09043,1.08854,1.08791,1.09043,1.08980,1.09043,0.00,0.00,rejected,0,0,0,0,0,1,1970.01.01 00:00:00,0.00000,0.00,0.00,TREND_UP,1,1.08854,1.08791,1.08980,1.09043,0.00,0.00,0.00,0,,TAKE,0.000,0.000,0,0,0,-99.000
17,2024.03.21 12:00:00,EURUSD.dk,SweepMSS,BUY,1.08604,1.08516,1.08868,1.08780,1.08868,1.08604,1.08516,1.08868,1.08780,1.08868,0.00,0.00,rejected,0,0,0,0,0,1,1970.01.01 00:00:00,0.00000,0.00,0.00,TREND_UP,1,1.08604,1.08516,1.08780,1.08868,0.00,0.00,0.00,0,,TAKE,0.000,0.000,0,0,0,-99.000
18,2024.03.26 04:00:00,EURUSD.dk,TrendCont,BUY,1.08423,1.08338,1.08763,1.08593,1.08763,1.08423,1.08338,1.08763,1.08593,1.08763,0.50,2.79,approved,0,0,0,0,35,1,2024.03.26 14:25:55,1.08432,132.14,0.56,TREND_UP,1,1.08423,1.08338,1.08593,1.08763,2.59,2.59,0.00,0,BE,DISCRETION,2.000,4.000,1,0,1,1.011
19,2024.04.02 16:00:00,EURUSD.dk,TrendCont,SELL,1.07679,1.07808,1.07164,1.07421,1.07164,1.07679,1.07808,1.07164,1.07421,1.07164,0.50,1.85,approved,0,0,0,0,38,0,2024.04.03 11:11:07,1.07808,-236.25,-1.00,TREND_DOWN,1,1.07679,1.07808,1.07421,1.07164,0.29,0.29,0.29,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000
20,2024.04.22 16:00:00,EURUSD.dk,SweepMSS,SELL,1.06518,1.06725,1.05896,1.06103,1.05896,1.06518,1.06725,1.05896,1.06103,1.05896,0.00,1.14,approved,0,0,0,0,40,1,2024.04.23 07:30:00,1.06734,-244.78,-1.04,CHOP,,1.06518,1.06725,1.06103,1.05896,0.64,0.64,0.08,1,SL,DISCRETION,2.000,3.000,0,0,0,-99.000
21,2024.05.07 20:00:00,EURUSD.dk,TrendCont,SELL,1.07498,1.07888,1.05937,1.06718,1.05937,1.07498,1.07888,1.05937,1.06718,1.05937,0.50,0.60,approved,0,0,0,0,42,0,2024.05.10 13:47:50,1.07888,-232.44,-1.00,TREND_DOWN,1,1.07498,1.07888,1.06718,1.05937,0.66,0.37,0.66,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000
22,2024.05.20 12:00:00,EURUSD.dk,TrendCont,BUY,1.08607,1.08525,1.08934,1.08771,1.08934,1.08607,1.08525,1.08934,1.08771,1.08934,0.50,2.83,approved,0,0,0,0,44,1,2024.05.20 18:08:36,1.08617,129.82,0.56,TREND_UP,1,1.08607,1.08525,1.08771,1.08934,1.21,1.21,0.00,0,BE,DISCRETION,2.000,4.000,0,0,0,1.003
23,2024.05.27 12:00:00,EURUSD.dk,TrendCont,BUY,1.08597,1.08390,1.09425,1.09011,1.09425,1.08597,1.08390,1.09425,1.09011,1.09425,0.50,1.12,approved,0,0,0,0,47,1,2024.05.28 14:00:02,1.08606,114.44,0.53,TREND_UP,1,1.08597,1.08390,1.09011,1.09425,1.42,1.42,0.00,0,BE,DISCRETION,2.000,4.000,0,0,0,1.015
24,2024.05.31 08:00:00,EURUSD.dk,TrendCont,BUY,1.08527,1.08091,1.10269,1.09398,1.10269,1.08527,1.08091,1.10269,1.09398,1.10269,0.50,0.53,approved,0,0,0,0,50,1,2024.06.07 12:30:06,1.08526,101.30,0.49,TREND_UP,1,1.08527,1.08091,1.09398,1.10269,1.45,0.68,1.45,1,BE,DISCRETION,2.000,4.000,0,0,0,1.001
25,2024.06.12 20:00:00,EURUSD.dk,SweepMSS,BUY,1.08127,1.07598,1.09713,1.09184,1.09713,1.08127,1.07598,1.09713,1.09184,1.09713,0.00,0.44,approved,0,0,0,0,53,1,2024.06.13 15:26:54,1.07598,-232.76,-1.00,TREND_UP,1,1.08127,1.07598,1.09184,1.09713,0.07,0.07,0.00,0,SL,TAKE,2.000,3.000,0,0,0,-99.000
