cell,n,avg_off,avg_on,win_off,win_on,bank,tp,dd_off,dd_on,cadence,years,sum_off,sum_on,drag,nights
"FLEET (scope: from effective start, min-lot passed)",426,0.06784037558685445,-0.018902004642513452,0.5211267605633803,0.5211267605633803,0.5258215962441315,0.1596244131455399,27.150000000000006,31.994265926588415,50.38746761658031,8.454483230663929,28.899999999999995,-8.05225397771073,-0.0867423802293679,2.15962441314554
ALL fills incl. warm-up,426,0.06784037558685445,-0.018902004642513452,0.5211267605633803,0.5211267605633803,0.5258215962441315,0.1596244131455399,27.150000000000006,31.994265926588415,50.38746761658031,8.454483230663929,28.899999999999995,-8.05225397771073,-0.0867423802293679,2.15962441314554
half 1: 2018-01 → 2021-12,175,0.08325714285714285,-0.0009657557440780083,0.5371428571428571,0.5371428571428571,0.5485714285714286,0.15428571428571428,10.530000000000001,15.512702236731904,43.93041237113402,3.9835728952772076,14.569999999999999,-0.16900725521365145,-0.08422289860122087,2.525714285714286
half 2: 2022-01 → 2026-07,251,0.057091633466135445,-0.03140735746014772,0.5099601593625498,0.5099601593625498,0.5099601593625498,0.16334661354581673,27.150000000000006,31.99426592658842,56.41707692307693,4.4490075290896645,14.329999999999997,-7.883246722497079,-0.08849899092628317,1.904382470119522
detector DeepFib,24,0.3516666666666666,0.24459432706760953,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.20833333333333334,4.34,4.953287348190159,2.979605710401088,8.054757015742641,8.44,5.870263849622629,-0.10707233959905711,1.125
detector EMArevQ,27,0.03962962962962963,-0.04284552445493741,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.2962962962962963,4.17,5.180201600120029,3.309312080536913,8.158795345653662,1.07,-1.15682916028331,-0.08247515408456706,1.2222222222222223
detector SweepMSS,75,0.2473333333333333,0.16375902699661496,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.22666666666666666,11.120000000000005,12.747063682222155,9.031899109792285,8.303901437371664,18.549999999999997,12.281927024746121,-0.08357430633671838,2.2266666666666666
detector TrendCont,300,0.0027999999999999913,-0.08349205230598723,0.5,0.5,0.5033333333333333,0.12666666666666668,16.59,32.50858488716766,35.484132124352335,8.454483230663929,0.8399999999999974,-25.04761569179617,-0.08629205230598723,2.31
regime TREND_UP,244,0.0508606557377049,-0.03436916913151784,0.5,0.5,0.5,0.16393442622950818,16.550000000000004,29.841322126568286,31.204831932773107,7.819301848049282,12.409999999999997,-8.386077268090354,-0.08522982486922275,2.0163934426229506
regime TREND_DOWN,150,0.13793333333333332,0.05235137585229994,0.5733333333333334,0.5733333333333334,0.5866666666666667,0.15333333333333332,8.959999999999999,11.989906354870396,18.274683122081388,8.208076659822039,20.689999999999998,7.85270637784499,-0.08558195748103338,2.48
regime CHOP,32,-0.13125,-0.23496509648329272,0.4375,0.4375,0.4375,0.15625,5.54,7.890310379333615,4.088142707240293,7.827515400410678,-4.2,-7.518883087465367,-0.10371509648329273,1.75
class TAKE,73,0.42863013698630137,0.3447869123206757,0.6301369863013698,0.6301369863013698,0.6438356164383562,0.2602739726027397,9.620000000000001,10.937879542889359,8.79104846686449,8.303901437371664,31.29,25.169444599409328,-0.08384322466562563,1.9589041095890412
class DISCRETION,353,-0.006770538243626071,-0.09411246055841377,0.4985835694050991,0.4985835694050991,0.5014164305949008,0.1388101983002833,22.130000000000003,39.57890904500501,41.752995466321245,8.454483230663929,-2.3900000000000032,-33.22169857712006,-0.08734192231478768,2.2011331444759206
direction BUY,256,0.07460937499999998,-0.015129283570672555,0.515625,0.515625,0.51953125,0.16796875,16.070000000000007,19.76912590611166,30.84922467832398,8.2984257357974,19.099999999999994,-3.873096594092174,-0.08973865857067254,1.98828125
direction SELL,170,0.057647058823529405,-0.02458327872716798,0.5294117647058824,0.5294117647058824,0.5352941176470588,0.14705882352941177,16.93,21.550874523068366,20.45207509881423,8.31211498973306,9.799999999999999,-4.1791573836185565,-0.08223033755069739,2.4176470588235293
