id,time,exit,detector,dir,regime,class,r_off,r_on,swap_R,comm_R,nights,stop,price,lots_spec,suppressed,terminal
1,2018-01-02 16:00:00,2018-01-08 13:35:38,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.462,-0.030,-0.007,4,1480.50,14849.55,0.16,False,BE
2,2018-01-22 20:00:00,2018-01-23 11:49:04,EMArevQ,BUY,TREND_UP,DISCRETION,-1.000,-1.023,-0.011,-0.009,1,819.32,10788.25,0.3,False,SL
3,2018-01-25 16:00:00,2018-01-26 07:22:25,TrendCont,BUY,TREND_UP,DISCRETION,0.490,0.435,-0.026,-0.020,1,359.52,11213.05,0.6900000000000001,False,BE
4,2018-01-29 12:00:00,2018-01-30 01:33:41,TrendCont,BUY,TREND_UP,DISCRETION,-1.010,-1.086,-0.036,-0.028,1,260.09,11260.25,0.96,False,SL
5,2018-02-19 08:00:00,2018-02-21 00:15:14,SweepMSS,BUY,TREND_UP,TAKE,0.490,0.454,-0.021,-0.011,2,666.46,10951.66,0.37,False,BE
6,2018-02-21 04:00:00,2018-02-21 14:11:07,TrendCont,BUY,TREND_UP,DISCRETION,-1.010,-1.031,-0.000,-0.015,0,489.11,11127.05,0.51,False,SL
7,2018-02-21 20:00:00,2018-02-22 12:55:58,DeepFib,BUY,TREND_UP,TAKE,-1.000,-1.034,-0.016,-0.012,1,551.36,10451.25,0.45,False,SL
8,2018-02-23 12:00:00,2018-02-26 14:13:57,SweepMSS,SELL,TREND_UP,TAKE,0.540,0.516,-0.009,-0.010,1,652.39,10310.15,0.38,False,BE
9,2018-02-28 12:00:00,2018-03-07 07:31:44,SweepMSS,BUY,TREND_UP,TAKE,0.470,0.431,-0.031,-0.006,5,1158.17,10502.55,0.21,False,BE
10,2018-03-12 00:00:00,2018-03-13 04:43:41,DeepFib,SELL,TREND_UP,TAKE,0.490,0.467,-0.005,-0.012,1,513.24,9467.00,0.48,False,BE
11,2018-03-23 08:00:00,2018-03-29 04:40:01,SweepMSS,SELL,TREND_UP,TAKE,2.000,1.927,-0.042,-0.020,4,279.03,8510.75,0.89,False,TP
12,2018-04-02 08:00:00,2018-04-03 04:02:14,DeepFib,SELL,TREND_DOWN,TAKE,-1.000,-1.066,-0.022,-0.026,1,173.49,7043.95,1.44,False,SL
13,2018-04-04 08:00:00,2018-04-09 00:32:45,TrendCont,SELL,TREND_DOWN,DISCRETION,0.490,0.448,-0.021,-0.012,3,368.27,7065.94,0.67,False,BE
14,2018-04-09 08:00:00,2018-04-12 11:08:52,TrendCont,SELL,TREND_DOWN,DISCRETION,-1.020,-1.062,-0.025,-0.010,3,442.20,6750.60,0.56,False,end
15,2018-04-26 20:00:00,2018-05-11 07:45:12,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.168,-0.152,-0.011,11,564.92,9276.10,0.44,False,SL
16,2018-05-15 20:00:00,2018-05-16 01:24:47,SweepMSS,BUY,CHOP,DISCRETION,-1.040,-1.147,-0.049,-0.038,1,146.75,8470.16,1.7,False,end
17,2018-05-22 00:00:00,2018-05-23 15:35:55,TrendCont,SELL,TREND_DOWN,DISCRETION,2.520,2.436,-0.018,-0.042,1,128.69,8317.65,1.94,False,TP
18,2018-05-30 12:00:00,2018-05-31 06:28:48,TrendCont,SELL,TREND_DOWN,DISCRETION,-1.000,-1.054,-0.018,-0.022,1,219.94,7330.35,1.1300000000000001,False,SL
19,2018-06-04 12:00:00,2018-06-07 00:57:29,TrendCont,SELL,TREND_DOWN,DISCRETION,-1.000,-1.096,-0.058,-0.023,3,211.09,7500.69,1.18,False,SL
