signal_id,signal_time,symbol,strategy,direction,orig_entry,orig_sl,orig_tp,orig_tp1,orig_tp2,entry,sl,tp,tp1,tp2,partial_frac,lots,decision,skip_reason,edited,is_pending,decision_ms,posid,tp1_done,exit_time,exit_price,pnl,r_multiple,regime,with_trend,to_entry,to_sl,to_tp1,to_tp2,mfe_r,pre_dip_r,post_dip_r,dipped,terminal,decision_class,rt_tp1r,rt_tp2r,rt_touched1,rt_reached2,rt_redip1,rt_bankr,costed_r,cost_swap_r,cost_comm_r,cost_spread_r,cost_nights
1,2018.12.31 20:00:00,BTCUSD.dk,TrendCont,SELL,3718.59,3805.00,3372.96,3545.78,3372.96,3718.59,3805.00,3372.96,3545.78,3372.96,0.50,2.89,approved,0,0,0,0,2,0,2019.01.01 23:20:00,3805.16,-250.19,-1.00,TREND_DOWN,1,3718.59,3805.00,3545.78,3372.96,0.12,0.12,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.087,-0.024,-0.028,-0.036,1
2,2019.01.14 00:00:00,BTCUSD.dk,EMArevQ,BUY,3520.86,3487.43,3863.13,3746.70,3863.13,3520.86,3487.43,3863.13,3746.70,3863.13,0.00,0.00,rejected,0,0,0,0,0,1,1970.01.01 00:00:00,0.00,0.00,0.00,CHOP,,3520.86,3487.43,3746.70,3863.13,0.00,0.00,0.00,0,,DISCRETION,0.000,0.000,0,0,0,-99.000,,,,,
3,2019.01.24 12:00:00,BTCUSD.dk,TrendCont,SELL,3556.44,3580.29,3461.05,3508.75,3461.05,3556.44,3580.29,3461.05,3508.75,3461.05,0.50,4.00,approved,0,0,0,0,4,0,2019.01.24 19:05:36,3580.56,-96.48,-1.01,TREND_DOWN,1,3556.44,3580.29,3508.75,3461.05,0.20,0.20,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.236,-0.000,-0.097,-0.130,0
4,2019.01.25 16:00:00,BTCUSD.dk,TrendCont,SELL,3546.64,3573.25,3440.19,3493.42,3440.19,3546.64,3573.25,3440.19,3493.42,3440.19,0.50,4.00,approved,0,0,0,0,6,1,2019.01.28 05:17:08,3440.11,258.26,2.50,TREND_DOWN,1,3546.64,3573.25,3493.42,3440.19,4.00,4.00,0.00,0,TP,DISCRETION,2.000,4.000,1,1,1,1.006,2.224,-0.073,-0.087,-0.116,1
5,2019.01.30 16:00:00,BTCUSD.dk,TrendCont,SELL,3436.49,3462.54,3332.28,3384.38,3332.28,3436.49,3462.54,3332.28,3384.38,3332.28,0.50,4.00,approved,0,0,0,0,9,0,2019.01.31 00:57:28,3462.76,-113.16,-1.01,TREND_DOWN,1,3436.49,3462.54,3384.38,3332.28,0.30,0.30,0.30,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.287,-0.072,-0.086,-0.119,1
6,2019.01.31 08:00:00,BTCUSD.dk,SweepMSS,BUY,3409.01,3369.77,3526.72,3487.48,3526.72,3409.01,3369.77,3526.72,3487.48,3526.72,0.00,4.00,approved,0,0,0,0,11,1,2019.02.03 22:00:05,3395.19,35.14,0.33,TREND_DOWN,0,3409.01,3369.77,3487.48,3526.72,1.19,0.30,1.19,1,end,TAKE,2.000,3.000,0,0,0,1.005,0.085,-0.110,-0.056,-0.079,2
7,2019.02.04 00:00:00,BTCUSD.dk,TrendCont,SELL,3413.19,3454.25,3248.96,3331.08,3248.96,3413.19,3454.25,3248.96,3331.08,3248.96,0.50,4.00,approved,0,0,0,0,14,1,2019.02.08 14:03:56,3413.95,56.97,0.49,TREND_DOWN,1,3413.19,3454.25,3331.08,3248.96,1.87,0.43,1.87,1,BE,DISCRETION,2.000,4.000,0,0,0,1.004,0.224,-0.136,-0.054,-0.075,4
8,2019.02.13 04:00:00,BTCUSD.dk,EMArevQ,SELL,3589.49,3629.30,3508.77,3553.77,3508.77,3589.49,3629.30,3508.77,3553.77,3508.77,0.50,4.00,approved,0,0,0,0,17,1,2019.02.15 11:04:24,3589.76,58.44,0.45,TREND_DOWN,1,3589.49,3629.30,3553.77,3508.77,1.33,1.33,0.00,1,BE,DISCRETION,0.897,2.028,1,0,1,0.899,0.215,-0.099,-0.059,-0.078,2
9,2019.02.21 20:00:00,BTCUSD.dk,DeepFib,BUY,3900.20,3875.55,3986.55,3986.55,4060.99,3900.20,3875.55,4060.99,3986.55,4060.99,0.50,4.00,approved,0,0,0,0,20,1,2019.02.24 22:00:16,3784.80,-186.66,-1.83,TREND_DOWN,0,3900.20,3875.55,3986.55,4060.99,2.24,0.99,2.24,1,end,TAKE,3.503,6.522,0,0,0,1.020,-2.258,-0.200,-0.103,-0.125,2
10,2019.02.25 20:00:00,BTCUSD.dk,TrendCont,SELL,3818.30,3864.83,3632.18,3725.24,3632.18,3818.30,3864.83,3632.18,3725.24,3632.18,0.50,4.00,approved,0,0,0,0,23,1,2019.02.26 15:34:58,3818.31,104.96,0.56,TREND_DOWN,1,3818.30,3864.83,3725.24,3632.18,1.14,1.14,0.00,1,BE,DISCRETION,2.000,4.000,0,0,0,1.128,0.395,-0.045,-0.053,-0.066,1
11,2019.02.27 12:00:00,BTCUSD.dk,TrendCont,SELL,3798.05,3826.29,3685.11,3741.58,3685.11,3798.05,3826.29,3685.11,3741.58,3685.11,0.50,4.00,approved,0,0,0,0,26,1,2019.02.27 20:35:20,3684.56,284.56,2.52,TREND_DOWN,1,3798.05,3826.29,3741.58,3685.11,4.02,4.02,0.00,0,TP,DISCRETION,2.000,4.000,1,1,0,1.020,2.323,-0.000,-0.087,-0.109,0
12,2019.03.21 12:00:00,BTCUSD.dk,TrendCont,SELL,3965.80,4059.29,3591.82,3778.81,3591.82,3965.80,4059.29,3591.82,3778.81,3591.82,0.50,2.69,approved,0,0,0,0,29,1,2019.03.27 01:37:32,3965.86,108.36,0.51,TREND_DOWN,1,3965.80,4059.29,3778.81,3591.82,1.14,1.14,0.00,1,BE,DISCRETION,2.000,4.000,0,0,0,1.015,0.380,-0.070,-0.028,-0.033,4
13,2019.04.14 20:00:00,BTCUSD.dk,TrendCont,BUY,5162.01,5016.66,5743.42,5452.71,5743.42,5162.01,5016.66,5743.42,5452.71,5743.42,0.50,1.73,approved,0,0,0,0,32,0,2019.04.15 17:36:34,5016.35,-251.99,-1.00,TREND_UP,1,5162.01,5016.66,5452.71,5743.42,0.19,0.19,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.044,-0.000,-0.023,-0.021,0
14,2019.04.19 04:00:00,BTCUSD.dk,TrendCont,BUY,5247.76,5193.12,5466.30,5357.03,5466.30,5247.76,5193.12,5466.30,5357.03,5466.30,0.50,4.00,approved,0,0,0,0,34,1,2019.04.21 21:01:03,5238.85,83.30,0.42,TREND_UP,1,5247.76,5193.12,5357.03,5466.30,1.94,0.33,1.94,1,end,DISCRETION,2.000,4.000,0,0,0,1.001,0.261,-0.040,-0.062,-0.057,1
15,2019.04.21 20:00:00,BTCUSD.dk,TrendCont,BUY,5297.65,5233.24,5555.29,5426.47,5555.29,5297.65,5233.24,5555.29,5426.47,5555.29,0.50,3.89,approved,0,0,0,0,37,1,2019.04.22 16:14:00,5297.44,125.67,0.50,TREND_UP,1,5297.65,5233.24,5426.47,5555.29,1.46,0.43,1.46,1,BE,DISCRETION,2.000,4.000,0,0,0,1.009,0.399,-0.000,-0.053,-0.048,0
16,2019.04.24 12:00:00,BTCUSD.dk,TrendCont,BUY,5459.65,5371.89,5810.71,5635.18,5810.71,5459.65,5371.89,5810.71,5635.18,5810.71,0.50,2.87,approved,0,0,0,0,40,0,2019.04.25 22:01:10,5371.49,-265.24,-1.00,TREND_UP,1,5459.65,5371.89,5635.18,5810.71,0.57,0.57,0.00,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.128,-0.052,-0.040,-0.035,1
17,2019.05.07 20:00:00,BTCUSD.dk,SweepMSS,BUY,5746.76,5646.09,6048.76,5948.10,6048.76,5746.76,5646.09,6048.76,5948.10,6048.76,0.00,2.47,approved,0,0,0,0,42,1,2019.05.09 01:07:53,6048.85,492.86,2.01,TREND_UP,1,5746.76,5646.09,5948.10,6048.76,3.00,3.00,0.00,0,TP,TAKE,2.000,3.000,1,1,1,1.002,1.870,-0.072,-0.037,-0.031,2
18,2019.05.16 12:00:00,BTCUSD.dk,TrendCont,BUY,8021.65,7728.41,9194.62,8608.14,9194.62,8021.65,7728.41,9194.62,8608.14,9194.62,0.50,0.86,approved,0,0,0,0,45,0,2019.05.16 20:59:17,7727.74,-252.76,-1.00,TREND_UP,1,8021.65,7728.41,8608.14,9194.62,0.04,0.04,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.028,-0.000,-0.018,-0.011,0
19,2019.05.16 20:00:00,BTCUSD.dk,DeepFib,BUY,7880.36,7640.57,8386.25,8386.25,8856.18,7880.36,7640.57,8856.18,8386.25,8856.18,0.50,1.05,approved,0,0,0,0,47,0,2019.05.17 02:56:19,7640.30,-252.06,-1.00,TREND_UP,1,7880.36,7640.57,8386.25,8856.18,0.25,0.25,0.00,0,SL,TAKE,2.110,4.070,0,0,0,-99.000,-1.062,-0.028,-0.021,-0.013,1
