signal_id,signal_time,symbol,strategy,direction,orig_entry,orig_sl,orig_tp,orig_tp1,orig_tp2,entry,sl,tp,tp1,tp2,partial_frac,lots,decision,skip_reason,edited,is_pending,decision_ms,posid,tp1_done,exit_time,exit_price,pnl,r_multiple,regime,with_trend,to_entry,to_sl,to_tp1,to_tp2,mfe_r,pre_dip_r,post_dip_r,dipped,terminal,decision_class,rt_tp1r,rt_tp2r,rt_touched1,rt_reached2,rt_redip1,rt_bankr,stop_pre_floor,stop_post_floor,floor_applied,costed_r,cost_swap_r,cost_comm_r,cost_spread_r,cost_nights
1,2023.01.03 16:00:00,BTCUSD.dk,TrendCont,SELL,16639.44,16774.02,16101.12,16370.28,16101.12,16639.44,16774.02,16101.12,16370.28,16101.12,0.50,1.85,approved,0,0,0,0,2,0,2023.01.04 03:07:04,16774.35,-267.71,-1.00,TREND_DOWN,1,16639.44,16774.02,16370.28,16101.12,0.02,0.02,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,134.58,134.58,0,-1.171,-0.068,-0.080,-0.023,1
2,2023.01.04 16:00:00,BTCUSD.dk,EMArevQ,SELL,16836.34,16994.47,16594.12,16734.88,16594.12,16836.34,16994.47,16594.12,16734.88,16594.12,0.50,1.56,approved,0,0,0,0,4,1,2023.01.06 15:58:19,16836.91,58.22,0.36,CHOP,,16836.34,16994.47,16734.88,16594.12,0.97,0.37,0.97,1,BE,DISCRETION,0.642,1.532,1,0,1,0.726,158.13,158.13,0,0.155,-0.116,-0.069,-0.020,2
3,2023.01.23 04:00:00,BTCUSD.dk,TrendCont,BUY,22695.35,22216.12,24363.20,23529.27,24363.20,22695.35,22216.12,24363.20,23529.27,24363.20,0.50,0.51,approved,0,0,0,0,7,1,2023.01.27 01:36:56,22685.09,89.62,0.48,TREND_UP,1,22695.35,22216.12,23529.27,24363.20,2.33,0.57,2.33,1,BE,DISCRETION,1.740,3.480,1,0,1,1.000,416.96,479.23,1,0.323,-0.120,-0.031,-0.006,4
4,2023.01.27 04:00:00,BTCUSD.dk,TrendCont,BUY,23080.51,22510.25,25361.55,24221.03,25361.55,23080.51,22510.25,25361.55,24221.03,25361.55,0.50,0.43,approved,0,0,0,0,10,0,2023.01.28 00:00:07,23080.09,-7.94,-0.00,TREND_UP,1,23080.51,22510.25,24221.03,25361.55,0.73,0.73,0.20,1,end,DISCRETION,2.000,4.000,0,0,0,-99.000,570.26,570.26,0,-0.066,-0.034,-0.026,-0.005,1
5,2023.01.31 04:00:00,BTCUSD.dk,SweepMSS,SELL,22977.49,23698.32,20815.00,21535.83,20815.00,22977.49,23698.32,20815.00,21535.83,20815.00,0.00,0.34,approved,0,0,0,0,12,1,2023.02.01 21:09:21,23699.16,-249.99,-1.00,TREND_UP,0,22977.49,23698.32,21535.83,20815.00,0.27,0.27,0.00,1,SL,TAKE,2.000,3.000,0,0,0,-99.000,720.83,720.83,0,-1.042,-0.017,-0.021,-0.004,1
6,2023.02.03 00:00:00,BTCUSD.dk,TrendCont,BUY,23534.06,23069.08,24125.99,23830.03,24125.99,23534.06,23069.08,24125.99,23830.03,24125.99,0.50,0.52,approved,0,0,0,0,14,0,2023.02.04 00:00:07,23433.65,-61.74,-0.22,TREND_UP,1,23534.06,23069.08,23830.03,24125.99,0.39,0.39,0.28,1,end,DISCRETION,0.637,1.273,0,0,0,-99.000,147.98,464.98,1,-0.302,-0.043,-0.033,-0.007,1
7,2023.02.13 16:00:00,BTCUSD.dk,EMArevQ,BUY,21623.01,21350.20,22150.18,21854.71,22150.18,21623.01,21350.20,22150.18,21854.71,22150.18,0.50,0.90,approved,0,0,0,0,16,1,2023.02.14 13:30:38,21621.19,89.29,0.43,TREND_UP,1,21623.01,21350.20,21854.71,22150.18,1.01,1.01,0.00,1,BE,DISCRETION,0.849,1.932,1,0,1,0.859,263.77,272.81,1,0.300,-0.067,-0.052,-0.011,1
8,2023.02.17 00:00:00,BTCUSD.dk,TrendCont,BUY,23841.91,23124.55,26014.53,24928.22,26014.53,23841.91,23124.55,26014.53,24928.22,26014.53,0.50,0.34,approved,0,0,0,0,19,1,2023.02.18 00:00:00,24580.90,244.59,1.02,TREND_UP,1,23841.91,23124.55,24928.22,26014.53,1.63,0.55,1.63,1,end,DISCRETION,1.514,3.029,1,0,1,1.002,543.15,717.36,1,0.980,-0.014,-0.022,-0.004,1
9,2023.02.20 00:00:00,BTCUSD.dk,TrendCont,BUY,24420.91,23814.36,26847.12,25634.01,26847.12,24420.91,23814.36,26847.12,25634.01,26847.12,0.50,0.41,approved,0,0,0,0,22,1,2023.02.21 16:13:44,24420.69,117.44,0.49,TREND_UP,1,24420.91,23814.36,25634.01,26847.12,1.36,1.36,0.00,1,BE,DISCRETION,2.000,4.000,0,0,0,1.002,606.55,606.55,0,0.442,-0.017,-0.026,-0.005,1
10,2023.02.21 16:00:00,BTCUSD.dk,TrendCont,BUY,24607.35,24025.95,26042.46,25324.91,26042.46,24607.35,24025.95,26042.46,25324.91,26042.46,0.50,0.43,approved,0,0,0,0,25,0,2023.02.22 02:02:07,24025.94,-258.23,-1.00,TREND_UP,1,24607.35,24025.95,25324.91,26042.46,0.05,0.05,0.00,0,SL,DISCRETION,1.234,2.468,0,0,0,-99.000,358.78,581.40,1,-1.068,-0.036,-0.028,-0.005,1
